product_id,category,sub_category,price,stock_quantity
0_790,Vêtements,T-shirts,10.34,97
0_2198,Vêtements,T-shirts,12.14,7
0_376,Vêtements,T-shirts,8.75,17
1_317,Accessoires,Sacs à main,38.99,26
0_1923,Vêtements,T-shirts,3.99,54
1_183,Accessoires,Sacs à main,24.99,18
1_264,Accessoires,Sacs à main,16.07,8
0_2052,Vêtements,T-shirts,8.87,33
0_61,Vêtements,T-shirts,7.99,52
0_1332,Vêtements,T-shirts,33.12,23
0_253,Vêtements,T-shirts,17.99,10
0_2189,Vêtements,T-shirts,2.99,67
0_352,Vêtements,T-shirts,12.53,22
0_1102,Vêtements,T-shirts,4.63,94
0_166,Vêtements,T-shirts,1.83,70
1_77,Accessoires,Sacs à main,20.99,37
1_284,Accessoires,Sacs à main,60.39,12
0_2237,Vêtements,T-shirts,2.99,26
0_23,Vêtements,T-shirts,10.99,48
1_649,Accessoires,Sacs à main,18.99,54
1_98,Accessoires,Sacs à main,22.59,30
1_205,Accessoires,Sacs à main,8.99,99
2_214,Montres,Montres connectées,79.04,12
0_1824,Vêtements,T-shirts,10.34,33
0_1431,Vêtements,T-shirts,10.99,32
0_2291,Vêtements,T-shirts,12.99,99
1_447,Accessoires,Sacs à main,42.99,74
1_279,Accessoires,Sacs à main,27.99,20
0_1177,Vêtements,T-shirts,4.99,69
0_2181,Vêtements,T-shirts,27.99,94
0_808,Vêtements,T-shirts,27.85,1
1_728,Accessoires,Sacs à main,4.06,28
0_1775,Vêtements,T-shirts,6.99,78
0_1016,Vêtements,T-shirts,35.06,96
0_501,Vêtements,T-shirts,12.99,45
0_2268,Vêtements,T-shirts,17.57,20
2_10,Montres,Montres connectées,60.37,39
0_2083,Vêtements,T-shirts,6.99,2
0_2056,Vêtements,T-shirts,5.13,45
0_992,Vêtements,T-shirts,8.58,79
0_1504,Vêtements,T-shirts,1.68,12
0_1969,Vêtements,T-shirts,19.99,75
1_582,Accessoires,Sacs à main,27.61,3
1_221,Accessoires,Sacs à main,10.99,4
1_477,Accessoires,Sacs à main,6.99,19
0_823,Vêtements,T-shirts,26.99,74
0_2306,Vêtements,T-shirts,23.32,87
0_1899,Vêtements,T-shirts,21.99,28
2_71,Montres,Montres connectées,88.99,56
0_2151,Vêtements,T-shirts,16.99,45
0_1093,Vêtements,T-shirts,2.99,37
0_152,Vêtements,T-shirts,10.83,7
0_2164,Vêtements,T-shirts,4.29,54
1_496,Accessoires,Sacs à main,70.51,11
1_385,Accessoires,Sacs à main,25.99,27
1_56,Accessoires,Sacs à main,13.98,6
0_86,Vêtements,T-shirts,10.32,60
0_1545,Vêtements,T-shirts,18.99,15
0_2276,Vêtements,T-shirts,18.95,9
0_512,Vêtements,T-shirts,15.74,12
0_1596,Vêtements,T-shirts,10.36,77
0_1227,Vêtements,T-shirts,4.99,79
0_112,Vêtements,T-shirts,17.71,46
2_78,Montres,Montres connectées,167.49,46
1_520,Accessoires,Sacs à main,13.35,45
1_698,Accessoires,Sacs à main,18.3,95
1_564,Accessoires,Sacs à main,62.99,84
0_793,Vêtements,T-shirts,9.99,3
0_1197,Vêtements,T-shirts,6.99,61
0_1772,Vêtements,T-shirts,18.48,92
1_374,Accessoires,Sacs à main,10.71,97
0_1075,Vêtements,T-shirts,10.99,22
0_161,Vêtements,T-shirts,8.99,9
0_1832,Vêtements,T-shirts,7.41,74
0_1934,Vêtements,T-shirts,6.35,2
0_1694,Vêtements,T-shirts,7.65,81
1_678,Accessoires,Sacs à main,5.78,96
0_715,Vêtements,T-shirts,17.99,67
0_1136,Vêtements,T-shirts,3.02,5
0_2117,Vêtements,T-shirts,6.99,6
1_318,Accessoires,Sacs à main,17.24,20
1_708,Accessoires,Sacs à main,23.06,29
0_105,Vêtements,T-shirts,7.99,68
0_1028,Vêtements,T-shirts,4.51,52
1_432,Accessoires,Sacs à main,24.2,96
0_1546,Vêtements,T-shirts,12.86,98
0_1979,Vêtements,T-shirts,20.99,76
0_436,Vêtements,T-shirts,30.09,4
0_398,Vêtements,T-shirts,4.72,61
0_513,Vêtements,T-shirts,11.99,56
2_231,Montres,Montres connectées,111.99,13
0_193,Vêtements,T-shirts,3.99,25
0_262,Vêtements,T-shirts,11.64,29
0_1639,Vêtements,T-shirts,6.99,76
2_145,Montres,Montres connectées,103.99,28
2_165,Montres,Montres connectées,71.99,48
1_49,Accessoires,Sacs à main,28.99,85
1_667,Accessoires,Sacs à main,29.99,28
0_1323,Vêtements,T-shirts,10.99,42
0_1808,Vêtements,T-shirts,7.75,54
0_306,Vêtements,T-shirts,15.55,60
2_1,Montres,Montres connectées,56.99,98
0_2199,Vêtements,T-shirts,12.99,88
0_1744,Vêtements,T-shirts,11.92,58
0_1559,Vêtements,T-shirts,9.99,95
0_104,Vêtements,T-shirts,9.06,37
0_461,Vêtements,T-shirts,16.99,69
1_656,Accessoires,Sacs à main,6.62,71
0_506,Vêtements,T-shirts,15.81,96
0_1315,Vêtements,T-shirts,10.99,73
0_1183,Vêtements,T-shirts,17.99,45
1_733,Accessoires,Sacs à main,31.99,32
0_147,Vêtements,T-shirts,2.99,5
0_896,Vêtements,T-shirts,7.42,96
0_1100,Vêtements,T-shirts,3.03,43
1_362,Accessoires,Sacs à main,11.25,57
0_1003,Vêtements,T-shirts,14.99,5
1_154,Accessoires,Sacs à main,33.39,60
0_2256,Vêtements,T-shirts,7.2,15
0_2024,Vêtements,T-shirts,15.56,1
1_478,Accessoires,Sacs à main,38.63,2
2_139,Montres,Montres connectées,82.99,59
0_2197,Vêtements,T-shirts,2.99,81
1_470,Accessoires,Sacs à main,5.41,88
0_64,Vêtements,T-shirts,4.22,93
0_1631,Vêtements,T-shirts,10.99,15
0_1148,Vêtements,T-shirts,26.77,26
0_131,Vêtements,T-shirts,11.99,84
0_1780,Vêtements,T-shirts,1.67,53
0_1387,Vêtements,T-shirts,10.99,92
0_2233,Vêtements,T-shirts,19.99,71
0_897,Vêtements,T-shirts,9.99,30
0_85,Vêtements,T-shirts,2.99,94
0_1804,Vêtements,T-shirts,16.95,89
0_2190,Vêtements,T-shirts,8.22,15
0_906,Vêtements,T-shirts,16.97,63
1_129,Accessoires,Sacs à main,18.99,29
0_2283,Vêtements,T-shirts,8.99,43
2_226,Montres,Montres connectées,65.75,63
1_686,Accessoires,Sacs à main,24.03,95
0_2060,Vêtements,T-shirts,5.48,6
0_2267,Vêtements,T-shirts,18.99,8
0_1529,Vêtements,T-shirts,3.99,41
0_1393,Vêtements,T-shirts,11.99,18
1_704,Accessoires,Sacs à main,31.63,80
0_1110,Vêtements,T-shirts,4.71,37
2_144,Montres,Montres connectées,157.42,49
0_1209,Vêtements,T-shirts,8.99,1
0_1486,Vêtements,T-shirts,4.89,54
0_1361,Vêtements,T-shirts,3.99,3
1_697,Accessoires,Sacs à main,4.99,98
1_503,Accessoires,Sacs à main,26.99,88
0_1089,Vêtements,T-shirts,3.99,59
0_207,Vêtements,T-shirts,11.99,13
1_250,Accessoires,Sacs à main,20.76,63
1_138,Accessoires,Sacs à main,44.67,46
2_146,Montres,Montres connectées,115.3,16
1_605,Accessoires,Sacs à main,30.99,21
0_1444,Vêtements,T-shirts,2.08,25
0_272,Vêtements,T-shirts,5.6,53
0_475,Vêtements,T-shirts,8.99,68
0_1721,Vêtements,T-shirts,28.99,90
0_302,Vêtements,T-shirts,12.57,58
0_547,Vêtements,T-shirts,8.99,37
1_273,Accessoires,Sacs à main,47.99,48
0_2071,Vêtements,T-shirts,21.99,79
0_1052,Vêtements,T-shirts,3.79,89
1_196,Accessoires,Sacs à main,33.32,22
0_1333,Vêtements,T-shirts,5.99,45
1_1,Accessoires,Sacs à main,42.99,63
0_87,Vêtements,T-shirts,17.99,50
0_1388,Vêtements,T-shirts,17.15,69
1_693,Accessoires,Sacs à main,50.99,21
0_222,Vêtements,T-shirts,19.65,35
1_476,Accessoires,Sacs à main,45.37,69
1_277,Accessoires,Sacs à main,25.99,3
0_2258,Vêtements,T-shirts,5.8,55
0_784,Vêtements,T-shirts,3.6,74
1_199,Accessoires,Sacs à main,22.99,86
0_1401,Vêtements,T-shirts,10.99,28
0_2249,Vêtements,T-shirts,2.99,48
0_847,Vêtements,T-shirts,8.99,67
0_1088,Vêtements,T-shirts,1.09,10
0_1081,Vêtements,T-shirts,11.99,34
1_89,Accessoires,Sacs à main,32.99,15
1_84,Accessoires,Sacs à main,14.04,85
0_1231,Vêtements,T-shirts,25.99,73
0_1009,Vêtements,T-shirts,14.99,1
0_2069,Vêtements,T-shirts,17.99,37
2_164,Montres,Montres connectées,52.26,50
0_1456,Vêtements,T-shirts,27.42,86
1_491,Accessoires,Sacs à main,4.99,91
0_1019,Vêtements,T-shirts,24.99,48
0_1724,Vêtements,T-shirts,2.82,31
1_116,Accessoires,Sacs à main,12.88,41
0_2150,Vêtements,T-shirts,9.8,58
1_114,Accessoires,Sacs à main,35.61,88
0_1783,Vêtements,T-shirts,25.99,39
1_495,Accessoires,Sacs à main,21.99,29
0_134,Vêtements,T-shirts,8.22,18
0_1199,Vêtements,T-shirts,14.99,93
0_1733,Vêtements,T-shirts,1.99,1
1_607,Accessoires,Sacs à main,26.99,45
1_446,Accessoires,Sacs à main,23.92,70
0_1864,Vêtements,T-shirts,22.76,53
1_24,Accessoires,Sacs à main,39.08,79
0_726,Vêtements,T-shirts,10.21,66
0_1107,Vêtements,T-shirts,2.99,28
2_230,Montres,Montres connectées,57.04,31
2_34,Montres,Montres connectées,72.42,46
1_257,Accessoires,Sacs à main,22.99,29
0_2302,Vêtements,T-shirts,24.19,2
0_1363,Vêtements,T-shirts,16.99,16
0_852,Vêtements,T-shirts,10.81,74
0_433,Vêtements,T-shirts,2.99,54
0_1298,Vêtements,T-shirts,18.32,61
0_2272,Vêtements,T-shirts,7.98,23
0_1031,Vêtements,T-shirts,6.99,59
1_397,Accessoires,Sacs à main,18.99,82
0_120,Vêtements,T-shirts,0.66,77
1_218,Accessoires,Sacs à main,10.72,79
0_1022,Vêtements,T-shirts,23.57,34
0_1797,Vêtements,T-shirts,15.99,2
1_442,Accessoires,Sacs à main,24.98,47
0_527,Vêtements,T-shirts,2.99,30
0_33,Vêtements,T-shirts,18.99,93
0_412,Vêtements,T-shirts,21.33,44
0_1590,Vêtements,T-shirts,18.93,24
0_1397,Vêtements,T-shirts,14.99,97
0_2148,Vêtements,T-shirts,7.32,73
2_127,Montres,Montres connectées,68.99,44
0_1972,Vêtements,T-shirts,12.89,60
1_307,Accessoires,Sacs à main,6.99,41
0_907,Vêtements,T-shirts,34.99,10
0_1523,Vêtements,T-shirts,20.99,35
0_1319,Vêtements,T-shirts,14.99,58
1_586,Accessoires,Sacs à main,61.23,31
0_2246,Vêtements,T-shirts,6.3,43
0_2292,Vêtements,T-shirts,9.87,80
2_45,Montres,Montres connectées,32.99,19
0_1239,Vêtements,T-shirts,37.99,93
0_2219,Vêtements,T-shirts,14.99,31
0_1608,Vêtements,T-shirts,12.24,17
2_158,Montres,Montres connectées,247.22,68
1_571,Accessoires,Sacs à main,31.99,14
0_372,Vêtements,T-shirts,10.59,86
0_1618,Vêtements,T-shirts,3.95,42
0_2228,Vêtements,T-shirts,13.06,15
0_769,Vêtements,T-shirts,24.99,74
0_1290,Vêtements,T-shirts,11.57,14
0_1862,Vêtements,T-shirts,12.13,61
0_258,Vêtements,T-shirts,7.67,41
0_2172,Vêtements,T-shirts,3.88,59
0_464,Vêtements,T-shirts,7.62,19
0_358,Vêtements,T-shirts,4.29,73
0_2162,Vêtements,T-shirts,3.03,78
0_520,Vêtements,T-shirts,14.52,61
0_278,Vêtements,T-shirts,22.61,73
0_1173,Vêtements,T-shirts,18.99,31
0_2300,Vêtements,T-shirts,17.99,64
1_326,Accessoires,Sacs à main,59.11,46
0_1053,Vêtements,T-shirts,10.99,24
0_1731,Vêtements,T-shirts,14.99,71
0_2281,Vêtements,T-shirts,14.99,38
0_1932,Vêtements,T-shirts,3.27,96
1_410,Accessoires,Sacs à main,46.87,16
1_219,Accessoires,Sacs à main,8.99,51
0_1622,Vêtements,T-shirts,8.35,94
0_1082,Vêtements,T-shirts,15.41,32
2_137,Montres,Montres connectées,83.99,50
0_939,Vêtements,T-shirts,18.99,9
2_201,Montres,Montres connectées,86.99,77
0_1576,Vêtements,T-shirts,2.29,32
0_102,Vêtements,T-shirts,11.18,79
0_1593,Vêtements,T-shirts,6.99,90
0_1647,Vêtements,T-shirts,11.99,45
0_1207,Vêtements,T-shirts,16.99,43
1_694,Accessoires,Sacs à main,19.87,39
0_778,Vêtements,T-shirts,2.39,28
0_1792,Vêtements,T-shirts,8.79,74
0_2204,Vêtements,T-shirts,1.62,19
2_0,Montres,Montres connectées,162.03,7
0_1267,Vêtements,T-shirts,3.99,14
0_718,Vêtements,T-shirts,15.83,61
0_1971,Vêtements,T-shirts,16.99,44
1_172,Accessoires,Sacs à main,26.77,62
0_2282,Vêtements,T-shirts,13.71,79
1_523,Accessoires,Sacs à main,23.99,97
0_245,Vêtements,T-shirts,11.99,87
0_829,Vêtements,T-shirts,2.99,62
0_1111,Vêtements,T-shirts,19.99,47
0_1212,Vêtements,T-shirts,6.31,58
0_440,Vêtements,T-shirts,13.0,60
0_2285,Vêtements,T-shirts,16.99,55
1_421,Accessoires,Sacs à main,30.99,4
0_2186,Vêtements,T-shirts,4.2,57
0_742,Vêtements,T-shirts,10.79,85
1_433,Accessoires,Sacs à main,18.99,83
1_40,Accessoires,Sacs à main,30.25,46
0_813,Vêtements,T-shirts,9.99,15
0_519,Vêtements,T-shirts,6.99,84
0_1124,Vêtements,T-shirts,19.41,59
2_192,Montres,Montres connectées,127.39,87
0_911,Vêtements,T-shirts,4.99,45
0_2270,Vêtements,T-shirts,16.58,85
1_499,Accessoires,Sacs à main,60.99,34
0_2,Vêtements,T-shirts,16.4,45
0_806,Vêtements,T-shirts,3.33,59
0_1582,Vêtements,T-shirts,24.42,70
0_321,Vêtements,T-shirts,13.99,87
0_617,Vêtements,T-shirts,17.99,67
0_1794,Vêtements,T-shirts,31.83,29
0_103,Vêtements,T-shirts,10.99,94
1_229,Accessoires,Sacs à main,42.99,3
2_112,Montres,Montres connectées,67.57,72
0_1798,Vêtements,T-shirts,17.34,23
0_1340,Vêtements,T-shirts,14.76,12
1_203,Accessoires,Sacs à main,48.99,48
0_700,Vêtements,T-shirts,18.64,53
0_1012,Vêtements,T-shirts,32.4,33
0_2163,Vêtements,T-shirts,4.99,72
0_1668,Vêtements,T-shirts,14.62,4
1_8,Accessoires,Sacs à main,21.57,47
0_118,Vêtements,T-shirts,1.98,1
0_2239,Vêtements,T-shirts,5.99,22
0_2222,Vêtements,T-shirts,3.33,47
0_929,Vêtements,T-shirts,15.99,98
1_241,Accessoires,Sacs à main,21.99,95
0_797,Vêtements,T-shirts,4.99,7
0_1807,Vêtements,T-shirts,14.99,30
1_139,Accessoires,Sacs à main,6.99,44
1_94,Accessoires,Sacs à main,27.11,62
0_985,Vêtements,T-shirts,5.99,24
0_495,Vêtements,T-shirts,2.99,19
0_249,Vêtements,T-shirts,15.99,13
1_85,Accessoires,Sacs à main,22.99,48
0_946,Vêtements,T-shirts,18.01,54
0_1777,Vêtements,T-shirts,18.99,92
2_54,Montres,Montres connectées,89.43,98
0_1815,Vêtements,T-shirts,8.99,99
1_610,Accessoires,Sacs à main,32.98,78
2_209,Montres,Montres connectées,69.99,10
0_400,Vêtements,T-shirts,9.46,36
1_485,Accessoires,Sacs à main,37.99,51
1_69,Accessoires,Sacs à main,23.99,24
0_1564,Vêtements,T-shirts,11.12,2
0_586,Vêtements,T-shirts,4.95,46
1_270,Accessoires,Sacs à main,31.14,53
1_519,Accessoires,Sacs à main,51.99,37
0_1571,Vêtements,T-shirts,5.99,12
0_388,Vêtements,T-shirts,15.62,35
0_571,Vêtements,T-shirts,17.99,63
2_212,Montres,Montres connectées,104.78,52
1_286,Accessoires,Sacs à main,29.44,27
0_1374,Vêtements,T-shirts,21.0,20
0_774,Vêtements,T-shirts,6.66,97
0_876,Vêtements,T-shirts,17.35,87
1_461,Accessoires,Sacs à main,12.99,12
2_126,Montres,Montres connectées,116.98,79
0_1046,Vêtements,T-shirts,10.06,97
0_1217,Vêtements,T-shirts,24.99,50
0_822,Vêtements,T-shirts,35.3,90
0_2137,Vêtements,T-shirts,15.99,2
0_1883,Vêtements,T-shirts,6.99,90
0_1845,Vêtements,T-shirts,6.99,22
0_422,Vêtements,T-shirts,5.76,9
0_1658,Vêtements,T-shirts,5.01,66
0_1573,Vêtements,T-shirts,6.99,16
0_1172,Vêtements,T-shirts,10.71,19
1_41,Accessoires,Sacs à main,11.99,15
0_1484,Vêtements,T-shirts,25.23,70
2_83,Montres,Montres connectées,130.99,60
1_729,Accessoires,Sacs à main,31.99,67
0_963,Vêtements,T-shirts,8.99,10
0_1878,Vêtements,T-shirts,2.27,10
1_548,Accessoires,Sacs à main,13.59,18
0_1670,Vêtements,T-shirts,23.59,88
0_1407,Vêtements,T-shirts,13.99,10
0_1982,Vêtements,T-shirts,8.99,61
0_1470,Vêtements,T-shirts,19.53,34
1_342,Accessoires,Sacs à main,49.04,14
1_300,Accessoires,Sacs à main,6.74,37
1_371,Accessoires,Sacs à main,33.99,60
0_408,Vêtements,T-shirts,10.42,35
0_1443,Vêtements,T-shirts,5.99,14
1_438,Accessoires,Sacs à main,5.24,15
0_559,Vêtements,T-shirts,3.99,55
0_1202,Vêtements,T-shirts,4.83,98
0_2108,Vêtements,T-shirts,8.82,74
0_1422,Vêtements,T-shirts,11.41,65
0_1238,Vêtements,T-shirts,14.66,61
1_226,Accessoires,Sacs à main,37.73,81
0_901,Vêtements,T-shirts,15.99,20
1_73,Accessoires,Sacs à main,19.99,97
0_1468,Vêtements,T-shirts,6.08,69
0_1434,Vêtements,T-shirts,8.58,84
1_308,Accessoires,Sacs à main,11.65,81
0_998,Vêtements,T-shirts,9.41,88
1_646,Accessoires,Sacs à main,8.38,64
0_888,Vêtements,T-shirts,6.48,43
0_1691,Vêtements,T-shirts,14.99,92
0_1138,Vêtements,T-shirts,2.33,53
0_887,Vêtements,T-shirts,13.99,22
0_2196,Vêtements,T-shirts,12.34,91
0_967,Vêtements,T-shirts,8.99,36
0_67,Vêtements,T-shirts,22.99,50
0_229,Vêtements,T-shirts,17.99,77
1_266,Accessoires,Sacs à main,7.98,17
1_285,Accessoires,Sacs à main,14.99,38
1_93,Accessoires,Sacs à main,22.99,2
0_1600,Vêtements,T-shirts,13.23,26
2_121,Montres,Montres connectées,170.99,79
1_609,Accessoires,Sacs à main,7.99,52
0_648,Vêtements,T-shirts,7.41,93
0_1256,Vêtements,T-shirts,11.03,13
0_1348,Vêtements,T-shirts,12.03,72
1_717,Accessoires,Sacs à main,9.99,44
0_868,Vêtements,T-shirts,15.96,20
0_197,Vêtements,T-shirts,37.99,3
2_120,Montres,Montres connectées,42.19,44
0_1174,Vêtements,T-shirts,3.52,43
0_343,Vêtements,T-shirts,10.99,63
1_136,Accessoires,Sacs à main,31.72,2
0_877,Vêtements,T-shirts,5.99,50
1_502,Accessoires,Sacs à main,4.9,70
0_1656,Vêtements,T-shirts,23.26,93
1_265,Accessoires,Sacs à main,24.99,11
0_1540,Vêtements,T-shirts,18.23,8
0_2118,Vêtements,T-shirts,7.23,3
0_1872,Vêtements,T-shirts,9.42,55
1_448,Accessoires,Sacs à main,13.79,44
0_986,Vêtements,T-shirts,16.22,10
1_23,Accessoires,Sacs à main,23.99,11
1_629,Accessoires,Sacs à main,33.99,30
0_482,Vêtements,T-shirts,2.93,34
0_1954,Vêtements,T-shirts,8.15,54
0_2260,Vêtements,T-shirts,1.84,1
0_421,Vêtements,T-shirts,16.99,93
0_657,Vêtements,T-shirts,6.99,88
0_1398,Vêtements,T-shirts,4.52,47
0_1161,Vêtements,T-shirts,31.99,75
0_1802,Vêtements,T-shirts,28.97,5
0_1662,Vêtements,T-shirts,4.35,45
1_471,Accessoires,Sacs à main,31.99,24
2_37,Montres,Montres connectées,48.99,55
1_235,Accessoires,Sacs à main,37.99,21
0_414,Vêtements,T-shirts,12.65,42
0_787,Vêtements,T-shirts,7.99,72
1_481,Accessoires,Sacs à main,44.99,83
2_202,Montres,Montres connectées,67.57,80
0_248,Vêtements,T-shirts,7.91,24
0_113,Vêtements,T-shirts,16.99,36
1_419,Accessoires,Sacs à main,39.99,3
0_1988,Vêtements,T-shirts,9.86,75
0_444,Vêtements,T-shirts,10.17,87
0_748,Vêtements,T-shirts,27.27,80
0_2097,Vêtements,T-shirts,1.99,7
1_724,Accessoires,Sacs à main,16.94,79
0_36,Vêtements,T-shirts,12.57,80
0_811,Vêtements,T-shirts,3.99,36
1_536,Accessoires,Sacs à main,11.21,3
1_351,Accessoires,Sacs à main,28.99,28
0_1637,Vêtements,T-shirts,4.99,73
2_27,Montres,Montres connectées,73.99,23
0_502,Vêtements,T-shirts,3.13,75
0_2158,Vêtements,T-shirts,11.25,49
